Twitterアカウント名,GitHubアカウント名（Twitterとのいずれかは必須）,パート（第一希望）,パート（第二希望）,希望ジャンル,バンド経験,ライブハウスでの演奏経験,その他コメント,バンドで参加希望の場合はバンド名（仮でよいです）,仮配属バンド,仮配属バンド２,仮配属バンド3
muscle_nishimi,,ボーカル（男声）,ギター,ロック、ラウドロック、パンク(これ以外でも広く浅くなんでも歌います),あり,あり,"大学時代はピンボーカルを中心にやっていました。
現在もボイトレに通っていて、教室のコンサートで歌ったりアコギの弾き語りをしています。
シャウト、ラップが得意です。
ギターボーカルやベースボーカルもバッキングやルート弾きレベルなら可能です。
◯大学時代にやっていたコピーバンド
・THE BACK HORN
・LINKIN PARK
・Red Hot Chili Peppers
・Nulbarich
・ROTTENGRAFFTY
・BUMP OF CHICKEN (ギターボーカル)
・THEE MICHELLE GUN ELEPHANT(ギターボーカル)
・TOTALFAT(ベースボーカル) 
など",,1,,
makocchi,makocchi-git,ベース,,Spitzからデスメタルまでなんでも幅広くやります！,あり,あり,,,1,,
tsukaman,tsukaman,パーカッション（ドラム含む）,ボーカル（男声）,なんでも好き嫌いなく食べられます,あり,あり,司会業が得意です,,1,4,7
@ArakiToshihiro,toaraki,ギター,ボーカル（男性）,ラウド系ロック、メロコア,,,ギターソロは苦手です。7弦8弦ギターは持ってません。が、Djent とか、Chug とかそういう音は大好物です。,,1,,
sito1912,sito1912,ギター,,HR/HM、ポップス,,,最近は家でたまに弾くくらいなのでバンドは久しぶりです,,1,,
benzookapi,benzookapi,ボーカル（男声）,ギター,Rock (できれば洋楽),あり,あり,大学から20代後半まで売れないオリジナル曲のインディーバンドで都内のライブハウスでライブしたりしてました。久々にバンドやりたいのでよろしくお願いします！ギターボーカルや、簡単なベースやキーボードもできます。,,2,,
@25_aaa3/ AK,,ベース,,ロック、パンクが好きですが、何でも大丈夫です！,あり,あり,,,2,,
japan_rook,tutsunom,ドラムス,,何でもやりますがアニソン,あり,あり,コーラスもやります,,2,,
TatchNicolas,TatchNicolas,ギター,ボーカル（男声）,何でもありですが、2000年代邦ロック洋ロックJPOP,あり,あり,メイン歌はあまり自信ないですが人いなければやれます、ハモリなら喜んでやります、一年ちょっとだけドラマも叩いてたので質を妥協すればやれます,,2,,
karupanerura,karupanerura,ボーカル（男声）,ベース,ロック・ポップス,あり,あり,細かい動きがある曲は苦手ですが、ポップス・ロックそれぞれそこそこいけると思います。ギターもちょっとできます。これのBa/Voです https://youtu.be/3RW9bMk6Wzc,,3,,
r315dr,moeyashi,ドラムス,パーカッション,メタル以外,あり,あり,3年くらいブランクです,,3,,
@yoshihana0404,,ギター,,JPOP、JROCK,あり,あり,,,3,,
nobuyaiwao,,ボーカル（男声）,ギター,Prince,あり,あり,,,4,,
okd_jj,,ベース,ベースの他は素人に毛が生えたようなものしかできません！,"Soul,Funk,Rock",あり,あり,,,4,,
kojiha__,,ドラムス,ベース,"Rock, Pops",あり,あり,ドラム初心者です,,4,,
,,キーボード,ベース,何でも,,,ブラバンではトランペットでした。コーラスハモリも好き！,,4,,
nasa9084,nasa9084,ボーカル（男声）,ギター,"jpop, jrock, アニソン, jazz",あり,なし,ライブハウスはないけどライブ経験自体は(一応)あります。上手くはないです,,5,,
natural_clar,Naturalclar,ベース,ドラムス,ポップ系寄り,あり,なし,バー的なところを借りてライブした経験はあります（ライブハウスと言って良いのか微妙),,5,,
p_km,kissge,ドラムス,ベース,00年代邦ロック、QUEEN、あと無理だけど岸田教団,あり,あり,"Dr, Baは2年くらい一人でやっていて、Gt, Voは学生時代にやっていて、いずれも初心者です",,5,,
,af12066,キーボード,ギター,ロック、ポップス中心ですが、メタル以外ならだいたいOK,あり,あり,よろしくおねがいします！,,5,,
@kokubuno99,,ボーカル（女声）,,ポップスかロックなら,あり,あり,,,6,,
smzksts,smzksts,ベース,,ロック,あり,あり,学生時代にバンドやっていたので久しぶりに…。ピック弾きです。,,6,,
saramune,saramune,ドラムス,,ツインペダルドコドコの超ハードメタル以外ならなんでもいけます,あり,あり,お伝え済みですが大阪在住です。関東の方とセッション難しそうならtech x rockなメンバを関西で集めてバンドで出演させてもらうのもアリかもしれません。,,6,,
jyoshise,jyoshise,ギター,ベース,ポップスからメタルまで,あり,あり,ギター歴長いですが決して上手くはないです！,,6,,
hide04241990,matsuihidetoshi,ギター（アコギ）ボーカルしたいです！,ギター,洋楽（オルタナティブロックとかロック寄りなEDMとか）,あり,あり,"ギターボーカル希望ですが、ギターのみ、ボーカルのみでも対応いたします！
yukkie1114 とバンドでやる？とかの話も出ていますが、編成的に他の方と混ぜていただいても、ソロで弾き語りでも大丈夫です！",,7,,
yukkie1114,sinoda1114,ギター,曲によってはトランペット、ブルースハープ(あまり活躍の場はないかもですが),ポップス、ロック,あり,あり,"アコースティックギターとトランペットのキャリアがあります
あと、ブルースハープも少しできます",,7,,
yamamanx,yamamanx,ベース,ボーカル（男声）,パンクロック,あり,あり,とても楽しそうなイベントの企画ありがとうございます！JinKanaiとyukkie0703とバンドで参加希望です。,トレノケバンド,8,,
,yukkie0703,ドラムス,ボーカル（男声）,パンクロック,あり,あり,とても楽しそうなイベントの企画ありがとうございます！yamamanxとJinKanaiとバンドで参加希望です。,トレノケバンド,8,,
,JinKanai,ギター,ボーカル（男声）,パンクロック,あり,あり,とても楽しそうなイベントの企画ありがとうございます！yamamanxとyukkie0703とバンドで参加希望です。,トレノケバンド,8,,
,,ギタボ(ギターパートなければボーカルのみも可),ギター,jpop,あり,あり,,YOLO,9,,
nagauta_jp,nagauta,ギター,ベース,Rock,あり,あり,よろしくお願いします！,YOLO(仮),9,,
,yamadala,キーボード,ノイズ,何でも,あり,あり,音を出します,YOLO(仮),9,,
kangyoosam,kangyoosam,ギタボ（どちらでも、両方でも大丈夫です！）,ギター,"Rock, J-POP, アニソン, なんでも",,,ギター経験は2年くらい、ここ1年はエンジニア3人で趣味バンド組んで練習してます。中学生のとき週1でホルン（吹奏楽）やってました！ボーカル複数人いたら、ハモリが特徴的な曲とかやりたいです。,,,,
